filename treatment update average
edit_explode_denovo_00002_53 edit_explode_denovo_00002 47000 2.6428
edit_explode_denovo_00002_53 edit_explode_denovo_00002 48000 2.72649
edit_explode_denovo_00002_53 edit_explode_denovo_00002 49000 2.80054
edit_explode_denovo_00002_53 edit_explode_denovo_00002 50000 2.85592
edit_explode_denovo_00002_53 edit_explode_denovo_00002 51000 2.9478
edit_explode_denovo_00002_53 edit_explode_denovo_00002 52000 3.06668
edit_explode_denovo_00002_53 edit_explode_denovo_00002 53000 3.14365
edit_explode_denovo_00002_53 edit_explode_denovo_00002 54000 3.14914
edit_explode_denovo_00002_53 edit_explode_denovo_00002 55000 3.29492
edit_explode_denovo_00002_53 edit_explode_denovo_00002 56000 3.29973
edit_explode_denovo_00002_53 edit_explode_denovo_00002 57000 3.38551
edit_explode_denovo_00002_53 edit_explode_denovo_00002 58000 3.59763
edit_explode_denovo_00002_53 edit_explode_denovo_00002 59000 3.73488
edit_explode_denovo_00002_53 edit_explode_denovo_00002 60000 3.77567
edit_explode_denovo_00002_54 edit_explode_denovo_00002 0 -nan
edit_explode_denovo_00002_54 edit_explode_denovo_00002 1000 0.0618965
edit_explode_denovo_00002_54 edit_explode_denovo_00002 2000 0.163761
edit_explode_denovo_00002_54 edit_explode_denovo_00002 3000 0.369553
edit_explode_denovo_00002_54 edit_explode_denovo_00002 4000 0.516514
edit_explode_denovo_00002_54 edit_explode_denovo_00002 5000 0.716909
edit_explode_denovo_00002_54 edit_explode_denovo_00002 6000 0.851835
edit_explode_denovo_00002_54 edit_explode_denovo_00002 7000 0.87172
edit_explode_denovo_00002_54 edit_explode_denovo_00002 8000 0.916726
edit_explode_denovo_00002_54 edit_explode_denovo_00002 9000 1.04403
edit_explode_denovo_00002_54 edit_explode_denovo_00002 10000 1.36245
edit_explode_denovo_00002_54 edit_explode_denovo_00002 11000 1.36856
edit_explode_denovo_00002_54 edit_explode_denovo_00002 12000 1.53582
edit_explode_denovo_00002_54 edit_explode_denovo_00002 13000 1.48835
